DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
34815.00,0.00,-0.01,-0.01,0.00,-0.01,0.00,0.00,-0.01,0.01,-0.01,0.00,-0.01,-0.02,0.00,0.00,0.01,-0.03,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
34816.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.02,0.01,0.01,0.00,0.01,-0.01,0.00,0.01,0.00
34817.00,0.01,-0.01,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,0.02,-0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00
34820.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34821.00,-0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.00,0.01,0.00,0.00,0.00
34822.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01
34823.00,0.02,0.02,0.01,0.00,0.01,0.01,0.01,0.01,0.01,-0.01,0.00,0.03,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00
34824.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.01,-0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00
34827.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.06,0.02,0.00,-0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01
34828.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.00,-0.02,0.01,-0.01,0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00
34829.00,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,-0.01,0.00,-0.01,0.00,0.00,-0.04,0.03,0.00,0.01,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00
