DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35354.00,0.00,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,-0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00
35355.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.01,-0.01,0.00,0.00,0.01,0.00,-0.01,0.01,0.01,0.00
35356.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,-0.02,0.02,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
35359.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.01,-0.03,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.00
35360.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
35361.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
35362.00,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,0.01
35363.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.02,0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,-0.01,0.00
35366.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00
35367.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.02,-0.01
35368.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00
35369.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.01,0.00,0.02,0.00,-0.01,0.00,0.00
